postcode,eastings,northings,latitude,longitude,town,region
UB8,505900,182900,51.53458,-0.473,Hillingdon,Greater London
W10,523900,181800,51.52103,-0.21397,Kensington,Greater London
W11,524600,180800,51.51189,-0.20424,Kensington,Greater London
W12,522900,180300,51.50777,-0.2289,Hammersmith,Greater London
W13,516600,180700,51.5127,-0.31951,Ealing,Greater London
W14,524300,178900,51.49488,-0.20923,Hammersmith,Greater London
W1G,528600,181600,51.51818,-0.14633,Paddington,Greater London
W1H,527700,181400,51.51659,-0.15936,Paddington,Greater London
W1M,528400,181600,51.51823,-0.14921,Paddington,Greater London
W1T,529400,181800,51.5198,-0.13473,Camden Town,Greater London
W1U,528200,181600,51.51827,-0.15209,Paddington,Greater London
W1W,529100,181700,51.51897,-0.13909,Paddington,Greater London
W2,526400,181200,51.51508,-0.17816,Paddington,Greater London
W3,520200,180400,51.50925,-0.26775,Ealing,Greater London
W4,520600,178400,51.49118,-0.26268,Hounslow,Greater London
W5,517900,180700,51.51243,-0.30078,Ealing,Greater London
W6,523000,178600,51.49246,-0.22805,Hammersmith,Greater London
W7,515600,180500,51.5111,-0.33398,Ealing,Greater London
W8,525400,179500,51.50003,-0.19317,Kensington,Greater London
W9,525500,182400,51.52607,-0.1907,Paddington,Greater London
WC1,530300,182000,51.52139,-0.12169,Camden Town,Greater London
WC1A,530100,181500,51.51694,-0.12475,Camden Town,Greater London
WC1B,530000,181700,51.51876,-0.12612,Camden Town,Greater London
WC1E,529600,181900,51.52065,-0.13181,Camden Town,Greater London
WC1H,530000,182300,51.52415,-0.1259,Camden Town,Greater London
WC1N,530400,182000,51.52136,-0.12025,Camden Town,Greater London
WC1R,530700,181700,51.5186,-0.11604,Camden Town,Greater London
WC1V,530500,181500,51.51685,-0.11899,Camden Town,Greater London
WC1X,530700,182400,51.52489,-0.11578,Camden Town,Greater London
WC2A,530800,181400,51.51588,-0.11471,Camden Town,Greater London
WC2H,529900,181100,51.51339,-0.12778,Camden Town,Greater London
