station_id,station_name,line_id,line,zone
103,Grange Hill,2,Central Line,4.0
104,Great Portland Street,8,Metropolitan Line,1.0
104,Great Portland Street,3,Circle Line,1.0
104,Great Portland Street,6,Hammersmith & City Line,1.0
105,Greenford,2,Central Line,4.0
106,Greenwich,13,Docklands Light Railway,2.5
107,Green Park,11,Victoria Line,1.0
107,Green Park,10,Piccadilly Line,1.0
107,Green Park,7,Jubilee Line,1.0
108,Gunnersbury,4,District Line,3.0
109,Hainault,2,Central Line,4.0
110,Hammersmith,4,District Line,2.0
110,Hammersmith,10,Piccadilly Line,2.0
110,Hammersmith,6,Hammersmith & City Line,2.0
111,Hampstead,9,Northern Line,2.5
112,Hanger Lane,2,Central Line,3.0
113,Harlesden,1,Bakerloo Line,3.0
114,Harrow & Wealdstone,1,Bakerloo Line,5.0
115,Harrow-on-the-Hill,8,Metropolitan Line,5.0
116,Hatton Cross,10,Piccadilly Line,5.5
117,"Heathrow Terminals 1, 2 & 3",10,Piccadilly Line,6.0
118,Heathrow Terminal 4,10,Piccadilly Line,6.0
119,Hendon Central,9,Northern Line,3.5
120,Heron Quays,13,Docklands Light Railway,2.0
121,High Barnet,9,Northern Line,5.0
122,High Street Kensington,4,District Line,1.0
122,High Street Kensington,3,Circle Line,1.0
123,Highbury & Islington,11,Victoria Line,2.0
124,Highgate,9,Northern Line,3.0
125,Hillingdon,8,Metropolitan Line,6.0
125,Hillingdon,10,Piccadilly Line,6.0
126,Holborn,10,Piccadilly Line,1.0
126,Holborn,2,Central Line,1.0
127,Holland Park,2,Central Line,2.0
128,Holloway Road,10,Piccadilly Line,2.0
129,Hornchurch,4,District Line,6.0
130,Hounslow Central,10,Piccadilly Line,4.0
131,Hounslow East,10,Piccadilly Line,4.0
132,Hounslow West,10,Piccadilly Line,5.0
133,Hyde Park Corner,10,Piccadilly Line,1.0
134,Ickenham,8,Metropolitan Line,6.0
134,Ickenham,10,Piccadilly Line,6.0
135,Island Gardens,13,Docklands Light Railway,2.0
136,Kennington,9,Northern Line,2.0
137,Kensal Green,1,Bakerloo Line,2.0
138,Kensington (Olympia),4,District Line,2.0
139,Kentish Town,9,Northern Line,2.0
140,Kenton,1,Bakerloo Line,4.0
141,Kew Gardens,4,District Line,3.5
142,Kilburn,7,Jubilee Line,2.0
143,Kilburn Park,1,Bakerloo Line,2.0
144,Kingsbury,7,Jubilee Line,4.0
145,King's Cross St. Pancras,6,Hammersmith & City Line,1.0
145,King's Cross St. Pancras,11,Victoria Line,1.0
145,King's Cross St. Pancras,9,Northern Line,1.0
145,King's Cross St. Pancras,3,Circle Line,1.0
145,King's Cross St. Pancras,10,Piccadilly Line,1.0
145,King's Cross St. Pancras,8,Metropolitan Line,1.0
146,Knightsbridge,10,Piccadilly Line,1.0
147,Ladbroke Grove,6,Hammersmith & City Line,2.0
148,Lambeth North,1,Bakerloo Line,1.0
149,Lancaster Gate,2,Central Line,1.0
150,Latimer Road,3,Circle Line,2.0
150,Latimer Road,6,Hammersmith & City Line,2.0
151,Leicester Square,10,Piccadilly Line,1.0
151,Leicester Square,9,Northern Line,1.0
152,Lewisham,13,Docklands Light Railway,2.5
153,Leyton,2,Central Line,3.0
154,Leytonstone,2,Central Line,3.5
155,Limehouse,13,Docklands Light Railway,2.0
156,Liverpool Street,2,Central Line,1.0
156,Liverpool Street,8,Metropolitan Line,1.0
156,Liverpool Street,6,Hammersmith & City Line,1.0
156,Liverpool Street,3,Circle Line,1.0
157,London Bridge,9,Northern Line,1.0
157,London Bridge,7,Jubilee Line,1.0
158,Loughton,2,Central Line,6.0
159,Maida Vale,1,Bakerloo Line,2.0
160,Manor House,10,Piccadilly Line,2.5
161,Mansion House,3,Circle Line,1.0
161,Mansion House,4,District Line,1.0
162,Marble Arch,2,Central Line,1.0
163,Marylebone,1,Bakerloo Line,1.0
164,Mile End,4,District Line,2.0
164,Mile End,6,Hammersmith & City Line,2.0
164,Mile End,2,Central Line,2.0
165,Mill Hill East,9,Northern Line,4.0
166,Monument,4,District Line,1.0
166,Monument,3,Circle Line,1.0
167,Moorgate,8,Metropolitan Line,1.0
167,Moorgate,3,Circle Line,1.0
167,Moorgate,6,Hammersmith & City Line,1.0
167,Moorgate,9,Northern Line,1.0
168,Moor Park,8,Metropolitan Line,6.5
169,Morden,9,Northern Line,4.0
170,Mornington Crescent,9,Northern Line,2.0
171,Mudchute,13,Docklands Light Railway,2.0
172,Neasden,7,Jubilee Line,3.0
173,Newbury Park,2,Central Line,4.0
174,New Cross,5,East London Line,2.0
175,New Cross Gate,5,East London Line,2.0
176,Northfields,10,Piccadilly Line,3.0
177,Northolt,2,Central Line,5.0
178,Northwick Park,8,Metropolitan Line,4.0
179,Northwood,8,Metropolitan Line,6.0
180,Northwood Hills,8,Metropolitan Line,6.0
181,North Acton,2,Central Line,2.5
182,North Ealing,10,Piccadilly Line,3.0
183,North Greenwich,7,Jubilee Line,2.5
184,North Harrow,8,Metropolitan Line,5.0
185,North Wembley,1,Bakerloo Line,4.0
186,Notting Hill Gate,2,Central Line,1.5
186,Notting Hill Gate,3,Circle Line,1.5
186,Notting Hill Gate,4,District Line,1.5
187,Oakwood,10,Piccadilly Line,5.0
188,Old Street,9,Northern Line,1.0
190,Osterley,10,Piccadilly Line,4.0
191,Oval,9,Northern Line,2.0
192,Oxford Circus,1,Bakerloo Line,1.0
192,Oxford Circus,2,Central Line,1.0
192,Oxford Circus,11,Victoria Line,1.0
193,Paddington,1,Bakerloo Line,1.0
193,Paddington,4,District Line,1.0
193,Paddington,3,Circle Line,1.0
193,Paddington,6,Hammersmith & City Line,1.0
194,Park Royal,10,Piccadilly Line,3.0
195,Parsons Green,4,District Line,2.0
196,Perivale,2,Central Line,4.0
197,Piccadilly Circus,1,Bakerloo Line,1.0
197,Piccadilly Circus,10,Piccadilly Line,1.0
198,Pimlico,11,Victoria Line,1.0
199,Pinner,8,Metropolitan Line,5.0
200,Plaistow,4,District Line,3.0
200,Plaistow,6,Hammersmith & City Line,3.0
201,Poplar,13,Docklands Light Railway,2.0
202,Preston Road,8,Metropolitan Line,4.0
203,Prince Regent,13,Docklands Light Railway,3.0
204,Pudding Mill Lane,13,Docklands Light Railway,2.5
205,Putney Bridge,4,District Line,2.0
206,Queen's Park,1,Bakerloo Line,2.0
207,Queensbury,7,Jubilee Line,4.0
208,Queensway,2,Central Line,1.0
209,Ravenscourt Park,4,District Line,2.0
210,Rayners Lane,10,Piccadilly Line,5.0
210,Rayners Lane,8,Metropolitan Line,5.0
211,Redbridge,2,Central Line,4.0
212,Regent's Park,1,Bakerloo Line,1.0
213,Richmond,4,District Line,4.0
214,Rickmansworth,8,Metropolitan Line,7.0
215,Roding Valley,2,Central Line,4.0
216,Rotherhithe,5,East London Line,2.0
217,Royal Albert,13,Docklands Light Railway,3.0
218,Royal Oak,6,Hammersmith & City Line,2.0
219,Royal Victoria,13,Docklands Light Railway,3.0
220,Ruislip,10,Piccadilly Line,6.0
220,Ruislip,8,Metropolitan Line,6.0
221,Ruislip Gardens,2,Central Line,5.0
222,Ruislip Manor,10,Piccadilly Line,6.0
222,Ruislip Manor,8,Metropolitan Line,6.0
223,Russell Square,10,Piccadilly Line,1.0
224,Seven Sisters,11,Victoria Line,3.0
225,Shadwell,13,Docklands Light Railway,2.0
225,Shadwell,5,East London Line,2.0
226,Shepherd's Bush (C),2,Central Line,2.0
227,Shepherd's Bush (H),3,Circle Line,2.0
227,Shepherd's Bush (H),6,Hammersmith & City Line,2.0
228,Shoreditch,5,East London Line,2.0
229,Sloane Square,4,District Line,1.0
229,Sloane Square,3,Circle Line,1.0
230,Snaresbrook,2,Central Line,4.0
231,Southfields,4,District Line,3.0
232,Southgate,10,Piccadilly Line,4.0
233,Southwark,7,Jubilee Line,1.0
234,South Ealing,10,Piccadilly Line,3.0
235,South Harrow,10,Piccadilly Line,5.0
236,South Kensington,3,Circle Line,1.0
236,South Kensington,10,Piccadilly Line,1.0
236,South Kensington,4,District Line,1.0
237,South Kenton,1,Bakerloo Line,4.0
238,South Quay,13,Docklands Light Railway,2.0
239,South Ruislip,2,Central Line,5.0
240,South Wimbledon,9,Northern Line,3.5
241,South Woodford,2,Central Line,4.0
242,Stamford Brook,4,District Line,2.0
