,postcode,town,eastings,northings,latitude,longitude,region
151,SE12,Greenwich,540700.0,173700.0,51.4443,0.02483,Greater London
152,SE13,Lewisham,538300.0,175200.0,51.45837,-0.0091,Greater London
153,SE14,Lewisham,536000.0,177000.0,51.47511,-0.0415,Greater London
154,SE15,Camberwell,534400.0,176600.0,51.47189,-0.06468,Greater London
155,SE16,Camberwell,535200.0,179300.0,51.49597,-0.05213,Greater London
156,SE17,Camberwell,532400.0,178300.0,51.48764,-0.09282,Greater London
157,SE18,Eltham,544000.0,178200.0,51.48391,0.07412,Greater London
158,SE19,Croydon,533200.0,170500.0,51.41735,-0.08424,Greater London
159,SE2,Eltham,547000.0,178900.0,51.48943,0.11759,Greater London
160,SE20,Bromley,535100.0,169900.0,51.41151,-0.05716,Greater London
161,SE21,Camberwell,533000.0,172800.0,51.43807,-0.08626,Greater London
162,SE22,Camberwell,534000.0,174600.0,51.45401,-0.07119,Greater London
163,SE23,Lewisham,535600.0,173100.0,51.44015,-0.04875,Greater London
164,SE24,Camberwell,532100.0,174600.0,51.45446,-0.09853,Greater London
165,SE25,Croydon,533900.0,168300.0,51.39742,-0.07501,Greater London
166,SE26,Lewisham,535300.0,171600.0,51.42674,-0.05364,Greater London
167,SE27,Lambeth,532000.0,171900.0,51.43022,-0.10097,Greater London
168,SE28,Eltham,546300.0,180300.0,51.50219,0.10809,Greater London
169,SE3,Greenwich,540300.0,176400.0,51.46866,0.02015,Greater London
170,SE4,Lewisham,536600.0,175400.0,51.46058,-0.03348,Greater London
171,SE5,Camberwell,532600.0,176700.0,51.47322,-0.09055,Greater London
172,SE6,Lewisham,538000.0,172900.0,51.43777,-0.01432,Greater London
173,SE7,Greenwich,541300.0,178100.0,51.48369,0.03521,Greater London
174,SE8,Lewisham,536900.0,177700.0,51.48118,-0.02828,Greater London
175,SE9,Eltham,542900.0,173800.0,51.44465,0.05651,Greater London
176,SM1,Sutton,525900.0,164600.0,51.36599,-0.19127,Greater London
