station,line,zone
Fulham Broadway,District Line,2.0
Gallions Reach,Docklands Light Railway,3.0
Gants Hill,Central Line,4.0
Gidea Park,Elizabeth Line,6.0
Gloucester Road,Circle Line,1.0
Gloucester Road,District Line,1.0
Gloucester Road,Piccadilly Line,1.0
Golders Green,Northern Line,3.0
Goldhawk Road,Hammersmith & City Line,2.0
Goodge Street,Northern Line,1.0
Goodmayes,Elizabeth Line,4.0
Gospel Oak,London Overground,2.0
Grange Hill,Central Line,4.0
Great Portland Street,Metropolitan Line,1.0
Great Portland Street,Circle Line,1.0
Great Portland Street,Hammersmith & City Line,1.0
Green Park,Victoria Line,1.0
Green Park,Piccadilly Line,1.0
Green Park,Jubilee Line,1.0
Greenford,Central Line,4.0
Greenwich,Docklands Light Railway,2.5
Gunnersbury,London Overground,3.0
Gunnersbury,District Line,3.0
Hackney Central,London Overground,2.0
Hackney Downs,London Overground,2.0
Hackney Wick,London Overground,2.0
Haggerston,London Overground,2.0
Hainault,Central Line,4.0
Hammersmith,Hammersmith & City Line,2.0
Hammersmith,District Line,2.0
Hammersmith,Piccadilly Line,2.0
Hampstead,Northern Line,2.5
Hampstead Heath,London Overground,3.0
Hanger Lane,Central Line,3.0
Hanwell,Elizabeth Line,4.0
Harlesden,London Overground,3.0
Harlesden,Bakerloo Line,3.0
Harold Wood,Elizabeth Line,6.0
Harringay Green Lanes,London Overground,3.0
Harrow & Wealdstone,Bakerloo Line,5.0
Harrow and Wealdstone,London Overground,5.0
Harrow-on-the-Hill,Metropolitan Line,5.0
Hatch End,London Overground,6.0
Hatton Cross,Piccadilly Line,5.5
Hayes and Harlington,Elizabeth Line,5.0
Headstone Lane,London Overground,5.0
Heathrow Terminal 4,Piccadilly Line,6.0
Heathrow Terminal 4,Elizabeth Line,6.0
Heathrow Terminal 5,Piccadilly Line,6.0
Heathrow Terminal 5,Elizabeth Line,6.0
Heathrow Terminals 1 2 3,Elizabeth Line,6.0
"Heathrow Terminals 1, 2 & 3",Piccadilly Line,6.0
Hendon Central,Northern Line,3.5
Heron Quays,Docklands Light Railway,2.0
High Barnet,Northern Line,5.0
High Street Kensington,Circle Line,1.0
High Street Kensington,District Line,1.0
Highams Park,London Overground,4.0
Highbury & Islington,Victoria Line,2.0
Highbury and Islington,London Overground,2.0
Highgate,Northern Line,3.0
Hillingdon,Piccadilly Line,6.0
Hillingdon,Metropolitan Line,6.0
Holborn,Piccadilly Line,1.0
Holborn,Central Line,1.0
Holland Park,Central Line,2.0
Holloway Road,Piccadilly Line,2.0
Homerton,London Overground,2.0
Honor Oak Park,London Overground,3.0
Hornchurch,District Line,6.0
Hounslow Central,Piccadilly Line,4.0
Hounslow East,Piccadilly Line,4.0
Hounslow West,Piccadilly Line,5.0
Hoxton,London Overground,1.5
Hyde Park Corner,Piccadilly Line,1.0
Ickenham,Metropolitan Line,6.0
Ickenham,Piccadilly Line,6.0
Ilford,Elizabeth Line,4.0
Imperial Wharf,London Overground,2.0
Island Gardens,Docklands Light Railway,2.0
Iver,Elizabeth Line,
Kennington,Northern Line,2.0
Kensal Green,London Overground,2.0
Kensal Green,Bakerloo Line,2.0
Kensal Rise,London Overground,2.0
Kensington (Olympia),London Overground,2.0
Kensington (Olympia),District Line,2.0
Kentish Town,Northern Line,2.0
Kentish Town West,London Overground,2.0
Kenton,Bakerloo Line,4.0
Kenton,London Overground,4.0
Kew Gardens,London Overground,3.5
Kew Gardens,District Line,3.5
Kilburn,Jubilee Line,2.0
Kilburn High Road,London Overground,2.0
Kilburn Park,Bakerloo Line,2.0
King George V,Docklands Light Railway,3.0
King's Cross St. Pancras,Metropolitan Line,1.0
King's Cross St. Pancras,Piccadilly Line,1.0
King's Cross St. Pancras,Circle Line,1.0
King's Cross St. Pancras,Victoria Line,1.0
King's Cross St. Pancras,Hammersmith & City Line,1.0
King's Cross St. Pancras,Northern Line,1.0
Kingsbury,Jubilee Line,4.0
Knightsbridge,Piccadilly Line,1.0
Ladbroke Grove,Hammersmith & City Line,2.0
Lambeth North,Bakerloo Line,1.0
Lancaster Gate,Central Line,1.0
Langley,Elizabeth Line,
Latimer Road,Circle Line,2.0
Latimer Road,Hammersmith & City Line,2.0
Leicester Square,Northern Line,1.0
Leicester Square,Piccadilly Line,1.0
Lewisham,Docklands Light Railway,2.5
Leyton,Central Line,3.0
Leyton Midland Road,London Overground,3.0
Leytonstone,Central Line,3.5
Leytonstone High Road,London Overground,3.0
Limehouse,Docklands Light Railway,2.0
Liverpool Street,Hammersmith & City Line,1.0
Liverpool Street,London Overground,1.0
Liverpool Street,Elizabeth Line,1.0
Liverpool Street,Central Line,1.0
Liverpool Street,Metropolitan Line,1.0
Liverpool Street,Circle Line,1.0
London Bridge,Jubilee Line,1.0
London Bridge,Northern Line,1.0
