,id,title,price,postcode,rent_per_pers,town,zone,url,added_status,house_type,bedrooms,bathrooms,available,stations,description
17,130813655,"Roundwood Road, Harlesden, London, NW10","£2,600 pcm",NW10,866.6666666666666,Brent,3.0,https://www.rightmove.co.uk/properties/130813655#/?channel=RES_LET,Reduced today,Terraced,3,2.0,Ask agent,"[{'station_name': 'Neasden', 'distance (miles)': 0.6, 'network': 'underground', 'line': ['Jubilee Line'], 'zone': 3.0}, {'station_name': 'Dollis Hill', 'distance (miles)': 0.6, 'network': 'underground', 'line': ['Jubilee Line'], 'zone': 3.0}, {'station_name': 'Harlesden', 'distance (miles)': 0.8, 'network': 'underground', 'line': ['Bakerloo Line', 'London Overground'], 'zone': 3.0}]",ZERO DEPOSIT AVAILABLE. LONG LET. This superb well maintained 4 bedroom period house benefits from bright and spacious accommodation over 2 floors and an expansive private rear garden.
20,131949869,"High Street Colliers Wood, LONDON","£1,800 pcm",,900.0,,3.0,https://www.rightmove.co.uk/properties/131949869#/?channel=RES_LET,Added today,Flat,2,1.0,Now,"[{'station_name': 'Colliers Wood', 'distance (miles)': 0.3, 'network': 'underground', 'line': ['Northern Line'], 'zone': 3.0}, {'station_name': 'Tooting Broadway', 'distance (miles)': 0.5, 'network': 'underground', 'line': ['Northern Line'], 'zone': 3.0}, {'station_name': 'Tooting', 'distance (miles)': 0.7, 'network': 'nationalrail', 'line': ['National Rail (Thameslink)'], 'zone': 3.0}]","This second floor apartment has two double bedrooms, a gorgeous open-concept living area with a built-in kitchen, and a bathroom with a bathtub, making this ideal for couples or single professionals. Wooden flooring, gas central heating, lots of space, and double-glazed windows are further advant..."
21,118502138,"Farnborough Avenue, Walthamstow","£2,000 pcm",,666.6666666666666,,3.0,https://www.rightmove.co.uk/properties/118502138#/?channel=RES_LET,Reduced today,Terraced,3,,Now,"[{'station_name': 'Blackhorse Road', 'distance (miles)': 0.2, 'network': 'underground', 'line': ['Victoria Line', 'London Overground'], 'zone': 3.0}, {'station_name': 'St. James Street', 'distance (miles)': 0.5, 'network': 'nationalrail', 'line': None, 'zone': None}, {'station_name': 'Walthamstow Queens Road', 'distance (miles)': 0.7, 'network': 'overground', 'line': ['London Overground'], 'zone': 3.0}]",**NO DEPOSIT OPTION AVAILABLE** Newly renovated... - haart Walthamstow are proud to market this newly renovated three double bedroom house.
24,131949113,"Landor Road, London SW9 9JB","£2,750 pcm",SW9 9JB,916.6666666666666,Lambeth,2.0,https://www.rightmove.co.uk/properties/131949113#/?channel=RES_LET,Added today,Flat,3,,08/04/2023,"[{'station_name': 'Clapham North', 'distance (miles)': 0.4, 'network': 'underground', 'line': ['Northern Line'], 'zone': 2.0}, {'station_name': 'Stockwell', 'distance (miles)': 0.4, 'network': 'underground', 'line': ['Northern Line', 'Victoria Line'], 'zone': 2.0}, {'station_name': 'Brixton', 'distance (miles)': 0.4, 'network': 'underground', 'line': ['National Rail (Southeastern)', 'Victoria Line'], 'zone': 2.0}]",EweMove - AVAILABLE 4TH OF APRIL FURNISHED OR UNFURNISHED. A rarely available apartment located near to Clapham North station and Brixton. VIDEO TOUR AVAILABLE.
26,131948900,"Cotleigh Road, West Hampstead NW6","£1,898 pcm",NW6,949.0,Camden Town,2.0,https://www.rightmove.co.uk/properties/131948900#/?channel=RES_LET,Added today,Flat,2,1.0,09/05/2023,"[{'station_name': 'West Hampstead', 'distance (miles)': 0.3, 'network': 'nationalrail', 'line': ['Jubilee Line', 'London Overground'], 'zone': 2.0}, {'station_name': 'West Hampstead Thameslink', 'distance (miles)': 0.4, 'network': 'nationalrail', 'line': ['National Rail (Thameslink)'], 'zone': 2.0}, {'station_name': 'Brondesbury', 'distance (miles)': 0.4, 'network': 'overground', 'line': ['London Overground'], 'zone': 2.0}]","We are delighted to offer this immaculate split level 2 bedroom flat, located on the first floor of this period conversion. This bright property comprises laminate flooring throughout, a fully fitted kitchen, 2 double bedrooms with fitted wardrobes and double glazed windows."
27,131948858,"Maynard Road, Walthamstow Village, London, E17","£2,000 pcm",E17,1000.0,Walthamstow,3.3333333333333335,https://www.rightmove.co.uk/properties/131948858#/?channel=RES_LET,Added today,Semi-Detached,2,1.0,15/04/2023,"[{'station_name': 'Wood Street', 'distance (miles)': 0.4, 'network': 'nationalrail', 'line': ['London Overground'], 'zone': 4.0}, {'station_name': 'Walthamstow Central', 'distance (miles)': 0.6, 'network': 'nationalrail', 'line': ['London Overground', 'Victoria Line'], 'zone': 3.0}, {'station_name': 'Walthamstow Queens Road', 'distance (miles)': 0.8, 'network': 'overground', 'line': ['London Overground'], 'zone': 3.0}]",NO DEPOSIT OPTION AVAILABLE. Located in the Heart of Walthamstow fabulous Village is this stunning two double bedroom semi detached house with parking for two vehicles. This lovely house offers both bright and spacious living accommodation throughout and a private well maintained garden.
28,131948480,"Holly Court, John Harrison Way, Greenwich, SE10","£1,950 pcm",SE10,975.0,Greenwich,2.75,https://www.rightmove.co.uk/properties/131948480#/?channel=RES_LET,Added today,Flat,2,1.0,01/03/2023,"[{'station_name': 'Emirates Greenwich Peninsula', 'distance (miles)': 0.5, 'network': 'cablecar', 'line': None, 'zone': None}, {'station_name': 'North Greenwich', 'distance (miles)': 0.5, 'network': 'underground', 'line': ['Jubilee Line'], 'zone': 2.5}, {'station_name': 'West Silvertown', 'distance (miles)': 0.7, 'network': 'dlr', 'line': ['Docklands Light Railway'], 'zone': 3.0}]",Truepennys are delighted to offer this two bedroom apartment set within the original Greenwich Millennium Village riverside development.
29,131947871,"Victoria Road, London, W3","£1,900 pcm",W3,950.0,Ealing,2.5,https://www.rightmove.co.uk/properties/131947871#/?channel=RES_LET,Added today,Apartment,2,2.0,27/02/2023,"[{'station_name': 'North Acton', 'distance (miles)': 0.3, 'network': 'underground', 'line': ['Central Line'], 'zone': 2.5}, {'station_name': 'Acton Main Line', 'distance (miles)': 0.5, 'network': 'nationalrail', 'line': ['Elizabeth Line'], 'zone': 3.0}, {'station_name': 'East Acton', 'distance (miles)': 0.8, 'network': 'underground', 'line': ['Central Line'], 'zone': 2.0}]",Rehearsal Rooms . 3 Outdoor Terraces . Pet Friendly . Onsite Management Team . Residents Lounge . Postal Room . Enquire and find out more today!
30,130349174,"Canberra Road, Charlton, London, SE7","£3,000 pcm",SE7,750.0,Greenwich,3.0,https://www.rightmove.co.uk/properties/130349174#/?channel=RES_LET,Reduced today,Semi-Detached,4,5.0,Ask agent,"[{'station_name': 'Charlton', 'distance (miles)': 0.6, 'network': 'nationalrail', 'line': ['National Rail (Southeastern)'], 'zone': 3.0}, {'station_name': 'Westcombe Park', 'distance (miles)': 0.9, 'network': 'nationalrail', 'line': ['National Rail (Southeastern)'], 'zone': 3.0}, {'station_name': 'Woolwich Dockyard', 'distance (miles)': 1.1, 'network': 'nationalrail', 'line': ['National Rail (Southeastern)'], 'zone': 3.0}]","ZERO DEPOSIT AVAILABLE. LONG LET. Finished to a lovely standard throughout, this very well proportioned, 4-bedroom house, offers a spacious open plan kitchen/reception room, large garden, and separate annex with shower room and kitchenette."
34,65591217,"Earlston Grove, Hackney, E9","£2,750 pcm",E9,916.6666666666666,Hackney,2.0,https://www.rightmove.co.uk/properties/65591217#/?channel=RES_LET,Reduced today,Detached,3,1.0,28/02/2023,"[{'station_name': 'Cambridge Heath', 'distance (miles)': 0.3, 'network': 'nationalrail', 'line': ['London Overground'], 'zone': 2.0}, {'station_name': 'London Fields', 'distance (miles)': 0.3, 'network': 'nationalrail', 'line': ['London Overground'], 'zone': 2.0}, {'station_name': 'Bethnal Green (Underground)', 'distance (miles)': 0.6, 'network': 'underground', 'line': None, 'zone': None}]","W J Meade are pleased to offer this superb three bedroom detached-house with a private front and rear garden with private side gate lockable access. Features include downstairs toilet, recently fitted kitchen with appliances less than a year old. New Combi boi..."
